Date,Net Cash from Operating Activities,Net Cash from Investing Activities,Net Cash from Financing Activities
2017-03-31,12570000000,-14202000000,418000000
2017-06-30,8672000000,-3180000000,-2078000000
2017-09-30,15749000000,-9942000000,-4089000000
2017-12-31,28293000000,-13590000000,-7501000000
2018-03-31,15130000000,28710000000,-26272000000
2018-06-30,14488000000,3947000000,-31523000000
2018-09-30,19523000000,-3001000000,-22580000000
2018-12-31,26690000000,5844000000,-13676000000
2019-03-31,11155000000,13348000000,-29457000000
2019-06-30,11636000000,27502000000,-26804000000
2019-09-30,19910000000,-798000000,-21039000000
2019-12-31,30516000000,-13668000000,-25407000000
2020-03-31,13311000000,9013000000,-20940000000
2020-06-30,16271000000,-5165000000,-19116000000
2020-09-30,20576000000,5531000000,-21357000000
2020-12-31,38763000000,-8584000000,-32249000000
2021-03-31,23981000000,-10368000000,-11326000000
2021-06-30,21094000000,3572000000,-29396000000
2021-09-30,20200000000,835000000,-20382000000
2021-12-31,46966000000,-16106000000,-28159000000
2021-12-31,46966000000,-16106000000,-28159000000
2022-03-31,28166000000,-9265000000,-28351000000
2022-06-30,22892000000,4234000000,-27445000000
2022-09-30,24127000000,-1217000000,-26794000000
2016-12-31,27234000000,-19122000000,-12225000000
2016-09-30,16126000000,-7397000000,-6482000000
2016-06-30,10634000000,-4470000000,-9441000000
2016-03-31,11601000000,-13660000000,6884000000
2015-12-31,27463000000,-20450000000,-11444000000
2015-09-30,13475000000,-1375000000,-6299000000
2015-06-30,14988000000,-11403000000,-2755000000
2015-03-31,19081000000,-22331000000,-1739000000
