Date,CPI
2015-03-31,236.222
2015-04-30,237.001
2015-05-31,237.657
2015-06-30,238.034
2015-07-31,238.033
2015-08-31,237.498
2015-09-30,237.733
2015-10-31,238.017
2015-11-30,237.761
2015-12-31,237.652
2016-01-31,237.336
2016-02-29,238.08
2016-03-31,238.992
2016-04-30,239.557
2016-05-31,240.222
2016-06-30,240.101
2016-07-31,240.545
2016-08-31,241.176
2016-09-30,241.741
2016-10-31,242.026
2016-11-30,242.637
2016-12-31,243.618
2017-01-31,244.006
2017-02-28,243.892
2017-03-31,244.193
2017-04-30,244.004
2017-05-31,244.163
2017-06-30,244.243
2017-07-31,245.183
2017-08-31,246.435
2017-09-30,246.626
2017-10-31,247.284
2017-11-30,247.805
2017-12-31,248.743
2018-01-31,249.439
2018-02-28,249.581
2018-03-31,250.146
2018-04-30,250.779
2018-05-31,251.118
2018-06-30,251.323
2018-07-31,251.749
2018-08-31,252.239
2018-09-30,252.862
2018-10-31,252.657
2018-11-30,252.551
2018-12-31,252.47
2019-01-31,253.135
2019-02-28,254.273
2019-03-31,255.163
2019-04-30,255.325
2019-05-31,255.361
2019-06-30,255.9
2019-07-31,256.179
2019-08-31,256.596
2019-09-30,257.305
2019-10-31,257.788
2019-11-30,258.263
2019-12-31,258.682
2020-01-31,259.007
2020-02-29,258.165
2020-03-31,256.094
2020-04-30,255.944
2020-05-31,257.217
2020-06-30,258.543
2020-07-31,259.58
2020-08-31,260.19
2020-09-30,260.352
2020-10-31,260.721
2020-11-30,261.564
2020-12-31,262.2
2021-01-31,263.346
2021-02-28,265.028
2021-03-31,266.727
2021-04-30,268.599
2021-05-31,270.955
2021-06-30,272.184
2021-07-31,273.092
2021-08-31,274.214
2021-09-30,276.59
2021-10-31,278.524
2021-11-30,280.126
2021-12-31,281.933
2022-01-31,284.182
2022-02-28,287.708
2022-03-31,288.663
2022-04-30,291.474
2022-05-31,295.328
2022-06-30,295.271
2022-07-31,295.62
2022-08-31,296.761
2022-09-30,298.062
2022-10-31,298.349
