Date,Estimated EPS,Actual EPS
2015-03-31,0.55,0.58
2015-06-30,0.45,0.46
2015-09-30,0.47,0.49
2015-12-31,0.81,0.82
2016-03-31,0.49,0.48
2016-06-30,0.35,0.36
2016-09-30,0.42,0.42
2016-12-31,0.81,0.84
2017-03-31,0.51,0.53
2017-06-30,0.39,0.42
2017-09-30,0.47,0.52
2017-12-31,0.96,0.97
2018-03-31,0.67,0.68
2018-06-30,0.54,0.59
2018-09-30,0.7,0.73
2018-12-31,1.04,1.05
2019-03-31,0.59,0.62
2019-06-30,0.53,0.55
2019-09-30,0.71,0.76
2019-12-31,1.14,1.25
2020-03-31,0.52,0.64
2020-06-30,0.51,0.65
2020-09-30,0.69,0.73
2020-12-31,1.41,1.68
2021-03-31,1,1.4
2021-06-30,1,1.3
2021-09-30,1.24,1.24
2021-12-31,1.89,2.1
2022-03-31,1.43,1.52
2022-06-30,1.14,1.2
2022-09-30,1.26,1.29
