Date,Revenue,Operating Income (Loss),Pretax Income (Loss),Net Income
2015-03-31,58010000000,18278000000,18564000000,13569000000
2015-06-30,49605000000,14083000000,14473000000,10677000000
2015-09-30,51501000000,14623000000,15062000000,11124000000
2015-12-31,75872000000,24171000000,24573000000,18361000000
2016-03-31,50557000000,13987000000,14142000000,10516000000
2016-06-30,42358000000,10105000000,10469000000,7796000000
2016-09-30,46852000000,11761000000,12188000000,9014000000
2016-12-31,78351000000,23359000000,24180000000,17891000000
2017-03-31,52896000000,14097000000,14684000000,11029000000
2017-06-30,45408000000,10768000000,11308000000,8717000000
2017-09-30,52579000000,13120000000,13917000000,10714000000
2017-12-31,88293000000,26274000000,27030000000,20065000000
2018-03-31,61137000000,15894000000,16168000000,13822000000
2018-06-30,53265000000,12612000000,13284000000,11519000000
2018-09-30,62900000000,16118000000,16421000000,14125000000
2018-12-31,84310000000,23346000000,23906000000,19965000000
2019-03-31,58015000000,13415000000,13793000000,11561000000
2019-06-30,53809000000,11544000000,11911000000,10044000000
2019-09-30,64040000000,15625000000,16127000000,13686000000
2019-12-31,91819000000,25569000000,25918000000,22236000000
2020-03-31,58313000000,12853000000,13135000000,11249000000
2020-06-30,59685000000,13091000000,13137000000,11253000000
2020-09-30,64698000000,14775000000,14901000000,12673000000
2020-12-31,111439000000,33534000000,33579000000,28755000000
2021-03-31,89584000000,27503000000,28011000000,23630000000
2021-06-30,81434000000,24126000000,24369000000,21744000000
2021-09-30,83360000000,23786000000,23248000000,20551000000
2021-12-31,123945000000,41488000000,41241000000,34630000000
2021-12-31,123945000000,41488000000,41241000000,34630000000
2022-03-31,97278000000,29979000000,30139000000,25010000000
2022-06-30,82959000000,23076000000,23066000000,19442000000
2022-09-30,90146000000,24894000000,24657000000,20721000000
