Date,Treasury_3M,Treasury_1Y,Treasury_10Y
2015-03-31,0.03,0.26,1.94
2015-04-01,0.03,0.27,1.87
2015-04-02,0.02,0.25,1.92
2015-04-03,0.02,0.21,1.85
2015-04-06,0.03,0.21,1.92
2015-04-07,0.02,0.22,1.89
2015-04-08,0.03,0.22,1.92
2015-04-09,0.03,0.22,1.97
2015-04-10,0.02,0.24,1.96
2015-04-13,0.03,0.23,1.94
2015-04-14,0.02,0.23,1.9
2015-04-15,0.02,0.23,1.91
2015-04-16,0.02,0.22,1.9
2015-04-17,0.01,0.23,1.87
2015-04-20,0.03,0.24,1.9
2015-04-21,0.03,0.23,1.92
2015-04-22,0.03,0.23,1.99
2015-04-23,0.03,0.24,1.96
2015-04-24,0.03,0.24,1.93
2015-04-27,0.02,0.25,1.94
2015-04-28,0.02,0.24,2.0
2015-04-29,0.01,0.25,2.06
2015-04-30,0.01,0.24,2.05
2015-05-01,0.01,0.25,2.12
2015-05-04,0.02,0.25,2.16
2015-05-05,0.01,0.24,2.19
2015-05-06,0.02,0.25,2.25
2015-05-07,0.01,0.24,2.18
2015-05-08,0.01,0.23,2.16
2015-05-11,0.02,0.25,2.28
2015-05-12,0.03,0.25,2.28
2015-05-13,0.02,0.24,2.27
2015-05-14,0.01,0.23,2.23
2015-05-15,0.02,0.23,2.14
2015-05-18,0.02,0.22,2.23
2015-05-19,0.02,0.23,2.27
2015-05-20,0.02,0.23,2.26
2015-05-21,0.02,0.22,2.19
2015-05-22,0.02,0.23,2.21
2015-05-25,0.02,0.23,2.21
2015-05-26,0.02,0.24,2.14
2015-05-27,0.01,0.27,2.14
2015-05-28,0.01,0.26,2.13
2015-05-29,0.01,0.26,2.12
2015-06-01,0.02,0.26,2.19
2015-06-02,0.01,0.26,2.27
2015-06-03,0.02,0.26,2.38
2015-06-04,0.02,0.27,2.31
2015-06-05,0.03,0.29,2.41
2015-06-08,0.02,0.27,2.39
2015-06-09,0.02,0.27,2.42
2015-06-10,0.02,0.28,2.5
2015-06-11,0.01,0.28,2.39
2015-06-12,0.02,0.28,2.39
2015-06-15,0.02,0.28,2.36
2015-06-16,0.01,0.28,2.32
2015-06-17,0.01,0.27,2.32
2015-06-18,0.01,0.26,2.35
2015-06-19,0.01,0.25,2.26
2015-06-22,0.01,0.27,2.37
2015-06-23,0.01,0.3,2.42
2015-06-24,0.01,0.3,2.38
2015-06-25,0.01,0.29,2.4
2015-06-26,0.01,0.29,2.49
2015-06-29,0.02,0.27,2.33
2015-06-30,0.01,0.28,2.35
2015-07-01,0.01,0.28,2.43
2015-07-02,0.01,0.26,2.4
2015-07-03,0.01,0.26,2.4
2015-07-06,0.02,0.26,2.3
2015-07-07,0.02,0.25,2.27
2015-07-08,0.02,0.24,2.22
2015-07-09,0.03,0.25,2.32
2015-07-10,0.01,0.28,2.42
2015-07-13,0.02,0.28,2.44
2015-07-14,0.01,0.27,2.41
2015-07-15,0.02,0.28,2.36
2015-07-16,0.02,0.29,2.36
2015-07-17,0.03,0.29,2.34
2015-07-20,0.04,0.31,2.38
2015-07-21,0.03,0.34,2.35
2015-07-22,0.04,0.34,2.33
2015-07-23,0.03,0.33,2.28
2015-07-24,0.04,0.32,2.27
2015-07-27,0.05,0.32,2.23
2015-07-28,0.05,0.32,2.26
2015-07-29,0.06,0.33,2.29
2015-07-30,0.07,0.36,2.28
2015-07-31,0.08,0.33,2.2
2015-08-03,0.08,0.33,2.16
2015-08-04,0.08,0.37,2.23
2015-08-05,0.08,0.38,2.28
2015-08-06,0.04,0.35,2.23
2015-08-07,0.06,0.38,2.18
2015-08-10,0.12,0.4,2.24
2015-08-11,0.1,0.37,2.15
2015-08-12,0.1,0.37,2.14
2015-08-13,0.1,0.4,2.19
2015-08-14,0.09,0.41,2.2
2015-08-17,0.1,0.4,2.16
2015-08-18,0.07,0.42,2.2
2015-08-19,0.05,0.39,2.12
2015-08-20,0.02,0.39,2.09
2015-08-21,0.03,0.36,2.05
2015-08-24,0.06,0.33,2.01
2015-08-25,0.07,0.36,2.12
2015-08-26,0.06,0.35,2.18
2015-08-27,0.06,0.36,2.18
2015-08-28,0.06,0.38,2.19
2015-08-31,0.08,0.39,2.21
2015-09-01,0.03,0.39,2.17
2015-09-02,0.03,0.37,2.2
2015-09-03,0.02,0.36,2.18
2015-09-04,0.02,0.36,2.13
2015-09-07,0.02,0.36,2.13
2015-09-08,0.06,0.39,2.2
2015-09-09,0.03,0.39,2.21
2015-09-10,0.02,0.39,2.23
2015-09-11,0.04,0.4,2.2
2015-09-14,0.07,0.4,2.18
2015-09-15,0.07,0.47,2.28
2015-09-16,0.06,0.46,2.3
2015-09-17,0.01,0.39,2.21
2015-09-18,0.0,0.35,2.13
2015-09-21,0.01,0.36,2.2
2015-09-22,0.0,0.35,2.14
2015-09-23,0.01,0.34,2.16
2015-09-24,0.01,0.32,2.13
2015-09-25,0.0,0.35,2.17
2015-09-28,0.01,0.34,2.1
2015-09-29,0.01,0.33,2.05
2015-09-30,0.0,0.33,2.06
2015-10-01,0.0,0.31,2.05
2015-10-02,0.0,0.25,1.99
